neuron1,neuron2,neuron3,neuron4,neuron5,neuron6,neuron7,neuron8,neuron9,neuron10,neuron11,neuron12,neuron13,neuron14,neuron15,neuron16,neuron17
1.573195758,0.647544933,24.70200543,1.004098211,1.369714002,1.193419788,18.6638224,2.409495861,2.372254593,2.204456486,2.106751259,2.020232572,1.498430019,9.253534616,1.193986195,1.719611997,2.287010323
1.59486083,0.658306668,25.60655759,1.025055274,1.3775021,1.208287975,19.0855125,2.636200308,2.453534014,2.211678177,2.245662603,2.036658379,1.507492533,9.677207137,1.196959833,1.763933353,2.332464494
1.63309331,0.67359966,25.78016138,1.0669694,1.396901544,1.213668843,19.41317901,2.648094858,2.4603309,2.236883293,2.333030901,2.099812772,1.520378295,10.16530847,1.200783081,1.823830906,2.350306318
1.665378516,0.694698325,27.0484885,1.110157943,1.403981633,1.271017563,20.12019669,2.654042132,2.488651255,2.60292389,2.502528229,2.183924228,1.546999429,10.20028411,1.209279187,1.903552707,2.380467496
1.700212553,0.740435699,27.41183867,1.130973404,1.413044147,1.320578185,20.2241324,2.658856593,2.495448141,2.611844802,2.506634681,2.206438911,1.639890196,10.28453716,1.257140589,1.958210993,2.416292746
1.715930351,0.774844931,29.09619182,1.181100434,1.447453379,1.340968841,20.33174975,2.676840019,2.563275392,2.616092856,2.518670832,2.237591302,1.650085524,10.45644172,1.265495093,1.987239358,2.4444715
1.770447035,0.795518791,29.59562129,1.206022347,1.50409409,1.349748152,20.82891359,2.688451364,2.611561599,2.634076282,2.531839798,2.283895084,1.651643143,10.5344643,1.417008996,2.030711104,2.44602912
1.804148258,0.837008112,29.9147917,1.221881746,1.514997427,1.362492312,21.15388967,2.701337126,2.730507093,2.642147583,2.613685626,2.36007684,1.766765389,10.7494158,1.427912333,2.078289301,2.453958819
1.84011511,0.849185865,29.93419115,1.266627908,1.526183967,1.370563613,21.43185396,2.854408649,2.734896748,2.653617327,2.724984623,2.413460711,1.802165834,10.80364928,1.44433814,2.109158489,2.539344692
1.885002874,0.878780637,30.58584253,1.311798875,1.571213333,1.392087083,21.60021848,2.88159619,2.739569606,2.67060954,2.729799084,2.481146361,1.867585855,11.37996852,1.456515893,2.136629234,2.564549808
1.946174842,0.910216231,30.72121383,1.329357496,1.587072732,1.426637917,21.9366643,2.886269049,2.823397859,2.724135013,2.75018974,2.490067273,1.887834909,11.48107219,1.592878405,2.173162493,2.572904313
1.964441472,0.913189869,32.21001493,1.404831243,1.632243699,1.454108662,21.98268488,2.903544466,2.871825668,2.747499306,2.793944689,2.52490131,1.957502984,11.4898515,1.595002432,2.224422337,2.631385848
2.031419113,0.927774852,32.33419969,1.433151599,1.650368727,1.464020787,22.02304139,2.91897906,2.879472164,2.884711429,2.797909539,2.618358484,1.963875064,11.5850079,1.598542476,2.267469277,2.67853924
2.077864496,0.942643039,33.01785307,1.489933912,1.689167614,1.528166392,22.04286564,3.203881838,3.038207757,3.045429448,2.804706425,2.624305759,1.974211994,11.65127753,1.620773955,2.289559155,2.742118439
2.148806987,0.955387199,33.02564117,1.507209329,1.719470395,1.537795313,23.48663737,3.434126329,3.077714653,3.055199971,2.981000639,2.681512877,2.075457266,11.8795396,1.651784745,2.400858153,2.866303198
2.231785629,0.968131359,36.83897706,1.540485747,1.734480183,1.558044368,24.76926628,3.459756251,3.087485176,3.069643352,3.016542685,2.68731855,2.133372393,12.01052124,1.709275067,2.42932011,2.890092297
2.253025896,0.977477076,39.83739472,1.573478961,1.751330795,1.564274846,25.51734847,3.482412536,3.123310426,3.073891405,3.096830893,2.855683065,2.205447698,12.38250911,1.715363943,2.453250811,2.902978059
2.300179288,0.991212449,41.2528461,1.623605991,1.760110105,1.577302209,25.89443401,3.487226996,3.227246131,3.086918769,3.203457032,2.890941908,2.224280735,12.52524371,1.724992864,2.496297751,3.072333786
2.343651034,1.012877521,42.50658824,1.665095312,1.776535912,1.713664722,26.19916104,3.501387174,3.29719741,3.136904197,3.223847689,2.984682285,2.232352036,12.71385727,1.74934837,2.632093857,3.227387733
2.463304537,1.018824796,44.88535652,1.702053376,1.808113108,1.723152041,26.64534824,3.537354026,3.375361591,3.192695297,3.357236564,2.990346356,2.304710545,12.95344748,1.78517362,2.658006982,3.240556698
2.545858374,1.031285752,45.9511931,1.710691085,1.829353375,1.754162831,26.90957716,3.574595294,3.408071602,3.431860701,3.376919211,3.038632562,2.361917664,12.98729031,1.803015444,2.679105647,3.303286286
2.60292389,1.038082637,46.39214104,1.752180406,1.877073174,1.762800539,27.08657938,3.593003525,3.498979944,3.443047242,3.5114409,3.157436455,2.408929454,13.05625037,1.828078959,2.694257037,3.314189623
2.66183023,1.074191091,46.42895751,1.849036022,1.890666945,1.784182408,27.18909907,3.602490844,3.510874493,3.454516986,3.51696337,3.172304641,2.496014548,13.34129475,1.857248925,2.713231676,3.329907421
2.714222888,1.081129578,46.56248798,1.876365165,1.903694309,1.810095533,27.25621831,3.606738897,3.552930222,3.459189844,3.534946796,3.210961927,2.502528229,13.64262334,1.86716105,2.752313767,3.388672159
2.766332343,1.087501658,47.25761111,1.897747034,1.959202206,1.819158047,28.30718671,3.626421545,3.590171489,3.483686952,3.546982947,3.258681726,2.513573168,13.66655404,1.979309658,2.766757148,3.412319656
2.804140017,1.112423571,47.312411,1.956228568,1.994461049,1.854133686,29.42371673,3.672158919,3.720445125,3.529141123,3.552930222,3.368706308,2.614676838,14.38263423,1.990637801,2.822548249,3.490059032
2.807255257,1.13621267,48.20053735,2.001965943,2.096131125,1.902561494,30.11289259,3.689717539,3.794502855,3.748623879,3.736446126,3.498271935,2.700345914,14.70831832,2.005364386,2.84180609,3.491191846
